Well;Plate;ID_unique;Light_panel;Group;Genus;Species;Strain;Species_Strain;Medium;Replicate;Salinity;Temperature;Light_period;Light_intensity;Experiment
B8;2;B8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;7;14;50;2
C8;2;C8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;7;14;50;2
D8;2;D8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;7;14;50;2
E8;2;E8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;34;7;14;25;2
F8;2;F8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;7;14;25;2
G8;2;G8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;7;14;25;2
H8;2;H8_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;7;14;25;2
A9;2;A9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;20;7;14;50;2
B9;2;B9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;20;7;14;50;2
C9;2;C9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;20;7;14;50;2
D9;2;D9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;20;7;14;50;2
E9;2;E9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;20;7;14;25;2
F9;2;F9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;20;7;14;25;2
G9;2;G9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;20;7;14;25;2
H9;2;H9_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;20;7;14;25;2
A10;2;A10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;25;7;14;50;2
B10;2;B10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;25;7;14;50;2
C10;2;C10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;25;7;14;50;2
D10;2;D10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;25;7;14;50;2
E10;2;E10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;25;7;14;25;2
F10;2;F10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;25;7;14;25;2
G10;2;G10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;25;7;14;25;2
H10;2;H10_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;25;7;14;25;2
A11;2;A11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;30;7;14;50;2
B11;2;B11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;30;7;14;50;2
C11;2;C11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;30;7;14;50;2
D11;2;D11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;30;7;14;50;2
E11;2;E11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;30;7;14;25;2
F11;2;F11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;30;7;14;25;2
G11;2;G11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;30;7;14;25;2
H11;2;H11_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;30;7;14;25;2
A12;2;A12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;34;7;14;50;2
B12;2;B12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;34;7;14;50;2
C12;2;C12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;34;7;14;50;2
D12;2;D12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;34;7;14;50;2
E12;2;E12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;34;7;14;25;2
F12;2;F12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;34;7;14;25;2
G12;2;G12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;34;7;14;25;2
H12;2;H12_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;34;7;14;25;2
A1;3;A1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;11;14;200;2
B1;3;B1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;11;14;200;2
C1;3;C1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;11;14;200;2
D1;3;D1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;11;14;200;2
E1;3;E1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;11;14;100;2
F1;3;F1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;11;14;100;2
G1;3;G1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;11;14;100;2
H1;3;H1_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;11;14;100;2
A2;3;A2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;11;14;200;2
B2;3;B2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;11;14;200;2
C2;3;C2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;11;14;200;2
D2;3;D2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;11;14;200;2
E2;3;E2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;11;14;100;2
F2;3;F2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;11;14;100;2
G2;3;G2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;11;14;100;2
H2;3;H2_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;11;14;100;2
A3;3;A3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;11;14;200;2
B3;3;B3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;11;14;200;2
C3;3;C3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;11;14;200;2
D3;3;D3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;11;14;200;2
E3;3;E3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;11;14;100;2
F3;3;F3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;11;14;100;2
G3;3;G3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;11;14;100;2
H3;3;H3_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;11;14;100;2
A4;3;A4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;34;11;14;200;2
B4;3;B4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;34;11;14;200;2
C4;3;C4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;34;11;14;200;2
D4;3;D4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;34;11;14;200;2
E4;3;E4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;34;11;14;100;2
F4;3;F4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;34;11;14;100;2
G4;3;G4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;34;11;14;100;2
H4;3;H4_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;34;11;14;100;2
A5;3;A5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;20;11;14;200;2
B5;3;B5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;20;11;14;200;2
C5;3;C5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;20;11;14;200;2
D5;3;D5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;20;11;14;200;2
E5;3;E5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;20;11;14;100;2
F5;3;F5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;20;11;14;100;2
G5;3;G5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;20;11;14;100;2
H5;3;H5_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;20;11;14;100;2
A6;3;A6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;25;11;14;200;2
B6;3;B6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;25;11;14;200;2
C6;3;C6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;25;11;14;200;2
D6;3;D6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;25;11;14;200;2
E6;3;E6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;25;11;14;100;2
F6;3;F6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;25;11;14;100;2
G6;3;G6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;25;11;14;100;2
H6;3;H6_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;25;11;14;100;2
A7;3;A7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;30;11;14;200;2
B7;3;B7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;30;11;14;200;2
C7;3;C7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;30;11;14;200;2
D7;3;D7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;30;11;14;200;2
E7;3;E7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;30;11;14;100;2
F7;3;F7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;30;11;14;100;2
G7;3;G7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;30;11;14;100;2
H7;3;H7_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;30;11;14;100;2
A8;3;A8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;34;11;14;200;2
B8;3;B8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;11;14;200;2
C8;3;C8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;11;14;200;2
D8;3;D8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;11;14;200;2
E8;3;E8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;34;11;14;100;2
F8;3;F8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;11;14;100;2
G8;3;G8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;11;14;100;2
H8;3;H8_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;11;14;100;2
A9;3;A9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;20;11;14;200;2
B9;3;B9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;20;11;14;200;2
C9;3;C9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;20;11;14;200;2
D9;3;D9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;20;11;14;200;2
E9;3;E9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;20;11;14;100;2
F9;3;F9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;20;11;14;100;2
G9;3;G9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;20;11;14;100;2
H9;3;H9_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;20;11;14;100;2
A10;3;A10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;25;11;14;200;2
B10;3;B10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;25;11;14;200;2
C10;3;C10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;25;11;14;200;2
D10;3;D10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;25;11;14;200;2
E10;3;E10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;25;11;14;100;2
F10;3;F10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;25;11;14;100;2
G10;3;G10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;25;11;14;100;2
H10;3;H10_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;25;11;14;100;2
A11;3;A11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;30;11;14;200;2
B11;3;B11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;30;11;14;200;2
C11;3;C11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;30;11;14;200;2
D11;3;D11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;30;11;14;200;2
E11;3;E11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;30;11;14;100;2
F11;3;F11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;30;11;14;100;2
G11;3;G11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;30;11;14;100;2
H11;3;H11_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;30;11;14;100;2
A12;3;A12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;34;11;14;200;2
B12;3;B12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;34;11;14;200;2
C12;3;C12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;34;11;14;200;2
D12;3;D12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;34;11;14;200;2
E12;3;E12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;34;11;14;100;2
F12;3;F12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;34;11;14;100;2
G12;3;G12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;34;11;14;100;2
H12;3;H12_3;8;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;34;11;14;100;2
A1;4;A1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;11;14;50;2
B1;4;B1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;11;14;50;2
C1;4;C1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;11;14;50;2
D1;4;D1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;11;14;50;2
E1;4;E1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;11;14;25;2
F1;4;F1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;11;14;25;2
G1;4;G1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;11;14;25;2
H1;4;H1_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;11;14;25;2
A2;4;A2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;11;14;50;2
B2;4;B2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;11;14;50;2
C2;4;C2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;11;14;50;2
D2;4;D2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;11;14;50;2
E2;4;E2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;11;14;25;2
F2;4;F2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;11;14;25;2
G2;4;G2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;11;14;25;2
H2;4;H2_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;11;14;25;2
A3;4;A3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;11;14;50;2
B3;4;B3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;11;14;50;2
C3;4;C3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;11;14;50;2
D3;4;D3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;11;14;50;2
E3;4;E3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;11;14;25;2
F3;4;F3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;11;14;25;2
G3;4;G3_4;3;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;11;14;25;2
